"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 06:31:36 UTC 2023","Wed Aug 23 06:31:39 UTC 2023","3858","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Aug 23 05:18:16 UTC 2023","Wed Aug 23 05:18:51 UTC 2023","35237","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Aug 23 03:52:43 UTC 2023","Wed Aug 23 03:52:48 UTC 2023","5472","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Aug 23 02:25:21 UTC 2023","Wed Aug 23 02:25:28 UTC 2023","7062","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Aug 23 06:33:32 UTC 2023","Wed Aug 23 06:33:38 UTC 2023","5688","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Aug 23 05:50:43 UTC 2023","Wed Aug 23 05:50:57 UTC 2023","14265","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Aug 23 02:18:51 UTC 2023","Wed Aug 23 02:19:17 UTC 2023","25944","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Wed Aug 23 05:51:10 UTC 2023","Wed Aug 23 05:51:14 UTC 2023","3710","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Aug 23 02:17:33 UTC 2023","Wed Aug 23 02:17:56 UTC 2023","22566","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Aug 23 05:28:06 UTC 2023","Wed Aug 23 05:28:08 UTC 2023","1997","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Wed Aug 23 06:53:09 UTC 2023","Wed Aug 23 06:53:09 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Aug 23 03:23:42 UTC 2023","Wed Aug 23 03:23:51 UTC 2023","9032","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Aug 23 03:23:14 UTC 2023","Wed Aug 23 03:23:18 UTC 2023","3500","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Aug 23 05:27:30 UTC 2023","Wed Aug 23 05:27:33 UTC 2023","2786","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
